"Title","Canadian Total Exports"
"Industries","NAICS 3341 - Computer and Peripheral Equipment Manufacturing"
"","NAICS 3342 - Communications Equipment Manufacturing"
"Origin","Canada"
"Destination","All Countries (Detailed)"
"Period","Latest 10 years"
"Units","Value in  Canadian dollars"

"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"NAICS 3341 - Computer and Peripheral Equipment Manufacturing"
"United States","2835456135","2715482490","1991488097","1762021571","1824126415","1642312242","1660630345","1759096369","2002593595","2185592195"
"Hong Kong","51033827","67024367","71490279","78975735","78453167","94103640","96195807","114048894","111494843","112671332"
"Netherlands","159852747","167866665","92907339","80579162","68069598","71476180","117214851","155547630","126822250","107728320"
"United Kingdom","152817708","139846615","112612659","79496687","73330004","64774798","51043987","78857582","101419034","72287253"
"United Arab Emirates","34238143","52130896","66503208","64374520","49565495","29445166","27647850","38547397","64290358","69601869"
"Japan","75120292","71554235","88212811","59253448","45089696","55491766","28586802","57169629","58877028","65088689"
"China","75762370","87355194","109252232","61060818","62439170","54660185","45497535","53183889","50358255","59995785"
"Germany","133660394","85271649","74250628","74331455","62711850","55205813","56506757","68862514","75901367","51151661"
"Mexico","32479209","27373278","16975515","16861054","22132513","32562696","20935392","18985754","24072242","48304143"
"Korea, South","29063880","30979526","27132765","29644036","32965744","28779093","42595103","38762211","35927774","46234357"
"France (incl. Monaco, French Antilles)","60403362","57381271","57913955","60014675","54546441","51749405","44802506","33055650","37268264","30951779"
"Australia","35887658","43434379","42348783","33602357","26682380","23093473","19627198","36956113","39312302","27687305"
"Cuba","49000971","52485356","27277181","40536736","28547622","26416757","32971622","32799304","40927250","25932152"
"Singapore","37117595","25221209","39273946","32414627","30125946","32220234","27851258","25125286","24168775","25446270"
"Israel","12204114","8871700","7585771","13872220","12278009","12744087","9051085","13332907","31164192","21746357"
"India","17243027","30150973","18571723","21859444","23746837","15480561","13539937","19114386","30363650","19632133"
"Ireland","36148931","27516972","18594832","23885471","20253397","17785785","15895902","13943429","17980721","18977890"
"Italy (incl. Vatican City State)","21260549","32410650","19957731","20069457","17304394","19086689","17297274","16676451","16972804","15211465"
"Taiwan","10054037","12646529","22354772","14469045","18438474","12280125","12119952","12951311","17167346","13837339"
"Brazil","15718652","17687438","18157845","18222843","18594143","16774408","11841758","13719269","14795796","10757666"
"Belgium","21863562","21988013","24019102","24085028","29507911","27348504","17867702","14260617","16907932","10728589"
"Saudi Arabia","2797726","6875099","7610152","7815400","4958362","6366763","5146000","12323620","10374339","10551151"
"Turkey","4288775","5165831","9627413","3719261","3575189","5692912","6772613","7229760","9126710","9836221"
"South Africa","11263079","11900993","12082817","21261623","12091051","12723172","15981939","21824914","20537499","9199456"
"Sweden","11499858","10734403","17530403","18190041","7719560","12629211","7969035","13172462","5383884","8807760"
"Egypt","1654994","6159770","6261515","6411550","3982222","2453007","3682639","8637200","9586591","8147442"
"Pakistan","2782871","3070881","1939998","2558821","2447545","4165687","3804675","5556735","4912502","6789932"
"Spain","17710024","20092481","11311118","11190515","8105428","7034906","4747994","8346900","10525321","6254024"
"Qatar","497588","3103553","3012860","2261898","2178568","1579797","2538793","4238275","8246210","5958547"
"Switzerland","8296074","8945965","8589601","6880155","6615038","6027457","4762866","7384453","15906778","5308997"
"Kuwait","628909","722570","1609906","749678","3405130","1286604","2034975","2904633","3485713","5179840"
"Vietnam","1724413","4123441","3636487","1969366","1444767","1591427","2082163","2329181","4126961","5143199"
"Peru","2345930","4634188","2632890","2440645","3540749","6988785","1644878","3389452","4351773","5026629"
"Denmark","10178116","9009082","6580802","6848191","6097160","5815209","4773976","6525651","9876135","4941169"
"Chile","5074295","7273343","5267116","6851587","7714037","7877905","4875342","7100935","6808259","4888089"
"Panama","1606298","1933562","889304","1403824","1050795","1358612","1228325","1266087","1395300","4763999"
"Poland","5439584","5399839","8803641","3346462","4090675","6669687","5066306","3809059","4219495","4432671"
"Malaysia","8309295","8281270","7828881","11202493","6584386","6332255","10479156","8925706","4334889","3605942"
"Russia","7697650","5874555","2873196","4456101","5262489","4562647","4325041","4047497","3613718","3542891"
"Thailand","5083518","3408620","6053957","3876369","7912849","10794646","3411891","4372760","6489265","3342492"
"Jamaica","1808459","1176459","2321983","2376604","1959216","729307","561767","1886423","1547487","3323458"
"Argentina","6068722","6905221","7318679","6389064","5572761","3614412","6404139","2349303","2730872","3170079"
"Romania","8812746","6370970","2727358","1845292","1067025","1509810","577183","848853","540862","3138931"
"Norway","5923011","3502526","3340173","4699909","5362618","5279195","3672483","3161127","3555779","3103647"
"Iceland","356429","243196","258511","141553","137247","366789","528992","506832","480418","3065482"
