"Title","Canadian Total Exports"
"Industries","NAICS 3343 - Audio and Video Equipment Manufacturing"
"","NAICS 3344 - Semiconductor and Other Electronic Component Manufacturing"
"Origin","Canada"
"Destination","All Countries (Detailed)"
"Period","Latest 10 years"
"Units","Value in  Canadian dollars"

"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"NAICS 3343 - Audio and Video Equipment Manufacturing"
"United States","496810194","492932529","609975036","496451570","520272868","575453669","632127362","520662957","771780085","660935772"
"United Kingdom","30808874","54261939","84001064","85380704","71554570","71269363","60625957","59877439","53787466","23511122"
"Netherlands","7006595","8282028","6616005","5316366","5846767","2799987","6162982","4108976","14785398","23358944"
"China","8527652","14932810","18236005","28411444","24643568","12635539","16782697","16647727","27357852","22569047"
"France (incl. Monaco, French Antilles)","5103448","5730467","6545726","9785443","6263336","6735913","11406832","6794935","7212615","19436515"
"Hong Kong","7480397","14563926","17289001","24980126","26435586","25330422","26361944","16916323","16165977","12339779"
"Japan","2674419","4646687","13188062","16913428","21180224","9780654","9514489","7650173","17546488","11248350"
"Australia","8358878","9717950","14658388","10001530","10481003","9917306","11717722","7572042","9156927","10047584"
"Korea, South","5863591","5664733","23494790","16174940","8510550","9155059","10643868","13858429","9551064","9005254"
"Germany","4722199","4483090","6889507","6099112","3981254","6286237","7115706","6046097","12432661","8502069"
"Cuba","1425399","3410129","1570555","2144341","2224676","2336859","3058753","1118812","3136128","7995475"
"Russia","1248702","2531672","2188873","10965402","3953641","7700901","11343598","5759941","3867678","6960447"
"India","491818","4073399","5979073","5023509","6195275","5251895","7868898","8419433","7553529","6880573"
"Singapore","2060951","3573574","2855761","4308410","6112742","3491457","3425119","6726414","11723864","6466554"
"United Arab Emirates","1659252","3729462","4984003","4536906","3805647","6892858","4098214","4153304","4202311","5394425"
"Taiwan","1958297","3023790","3263532","3122171","3191346","2184541","2265906","2161285","2967500","4932912"
"Denmark","1926016","1857158","1013479","816123","359572","234220","753413","486330","2436260","2473079"
"Qatar","175302","800520","1509719","395209","485448","194314","1213596","485717","646786","2287540"
