"Title","Canadian Total Exports"
"Industries","NAICS 3345 - Navigational, Measuring, Medical and Control Instruments Manufacturing"
"","NAICS 3346 - Manufacturing and Reproducing Magnetic and Optical Media"
"Origin","Canada"
"Destination","All Countries (Detailed)"
"Period","Latest 10 years"
"Units","Value in  Canadian dollars"

"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"NAICS 3345 - Navigational, Measuring, Medical and Control Instruments Manufacturing"
"United States","2572075386","2633356589","2283648674","2276116431","2397773083","2511026982","2537022728","2834049361","3480740047","3634833824"
"China","147642671","204066530","209602356","177302085","192257310","226338942","252921550","253230486","299343580","366253795"
"United Kingdom","136423582","155517096","121516839","163067921","149311595","129691631","154060964","229817635","309620741","222926753"
"Germany","112593746","146713329","135829577","115823640","142026500","120632367","133102133","144331610","164188440","179837918"
"Japan","89695793","84865482","58060091","55315823","62657228","67082959","73653809","74329178","92761113","102443078"
"France (incl. Monaco, French Antilles)","69677129","66383595","63674545","63365280","76064462","74574525","94998154","96433039","91332764","98094368"
"Korea, South","59644362","54916911","73416597","56155952","58283711","64100060","60285819","66547989","82594423","83449954"
"Mexico","50534379","77012388","42244799","38218281","58365795","50347664","49556806","63320296","73606957","80948185"
"Australia","45519630","65883173","49871750","56288788","82764461","80031814","73966920","64953170","78228332","78368093"
"Hong Kong","33363606","29068941","31154011","32350657","41720087","49029495","51450751","61876060","66853365","68866436"
"Singapore","43807084","53249655","60785699","53332800","57224957","58519857","62929228","62585362","72509431","67910708"
"Sweden","19946142","18902992","18482327","21395491","20580825","21141236","17298911","27084052","22694464","61644381"
"Italy (incl. Vatican City State)","56706698","55816588","49599260","47270166","39815230","39632924","44695718","43426578","57543737","56422379"
"India","61444267","48214221","53778190","45024039","50498977","37911051","50116646","45241821","51037934","44515416"
"Switzerland","14754433","21970161","15648471","32349171","29763531","30438931","31520940","34145653","34116900","42484225"
"Russia","38268976","44858087","28240645","22719547","51632117","63855147","64319902","37025402","26322733","42196403"
"Brazil","32335161","41213809","49433021","50240633","57703152","54195930","52478307","48242719","42645913","41468557"
"Netherlands","109933743","58671855","48539107","28609043","20001481","23056095","27031798","36492578","38476622","41025057"
"United Arab Emirates","23082962","31215058","31015255","27891632","26691530","42060865","31922506","28402199","40106932","29659304"
"Taiwan","31071816","25558742","21992390","32229360","22249590","24208468","24147143","18270578","28362299","28365433"
"Saudi Arabia","19554434","28567952","21961894","25479893","29582733","32862499","28123663","32245791","38924862","27125771"
"Poland","7475936","8140961","9356716","6410734","11419599","15464661","13167115","13449936","32968877","26749598"
"Norway","32671666","33448212","19878293","26673444","26223132","24681786","19125214","29536864","27461384","22803456"
"Spain","24719721","30853289","16148583","29128785","16984358","15190283","12173583","15795425","15755958","20576095"
"Argentina","7503448","8760198","9375684","7718863","12290220","10522093","13787112","14604180","11408180","19945551"
"Malaysia","17653949","20397701","17342616","17095664","18737079","22745984","30411570","41110169","33961793","18557034"
"Thailand","14610641","8886268","17682119","9621394","8822659","12348103","12652134","14380851","20098405","18292925"
"Turkey","12047435","12680686","15979210","8279202","14362365","16826825","13805697","18721037","18148677","17624277"
"Chile","12683253","13560788","13638494","12870016","16302351","17236685","16078159","13769610","15450850","17401184"
"Finland","17497348","14224843","15379907","12002253","12907756","23648111","22089275","18171976","12174564","17318669"
"Austria","13564997","20537569","9112876","10608635","11798790","11420751","12133735","18420918","13794806","17136667"
"South Africa","23004508","23318195","21970460","18158303","26919269","23327612","21742179","20800187","20008236","16704127"
"Israel","10792478","10099704","11123489","9592281","9121465","9209297","13009592","11795932","17973113","15903211"
"Denmark","9111423","12350757","10969026","9465447","12404537","11714384","22168293","23874932","17663462","13852577"
"Indonesia","8068458","5685348","6739541","5770171","9840410","15437778","14817697","14930968","21265775","11743207"
"Belgium","13520873","19273956","29024287","38600243","37625721","22436173","15506717","11248981","15751510","11336886"
"Peru","15262268","14352588","9642862","8697377","8553370","9704699","13173322","10741143","12632937","11003754"
"New Zealand","7460631","6875331","9796899","8445702","10607224","11395670","8178565","9559916","8186394","9837674"
"Vietnam","3174649","6103478","4195817","5269977","5397974","6499166","8238376","9761178","7552158","8982705"
"Egypt","8684353","8542806","6496679","5264138","2843770","2356937","4921004","8453532","5176860","8120660"
"Pakistan","10304869","7438811","2743004","5543812","2080019","3800088","3292170","5052831","17158326","8068173"
"Czech Republic","7548618","7201360","4260771","5638048","3752325","6090290","7189695","7848552","8628099","7789568"
"Colombia","10390067","9605031","13540165","10559399","18254303","28873608","18248321","21093147","12716660","7454202"
