REF_DATE,GEO,DGUID,Housing estimates,UOM,UOM_ID,STATUS,SYMBOL,TERMINATED,DECIMALS,GeoUID,Classification Code for Housing estimates,Hierarchy for Housing estimates,Classification Code for Type of unit,Date,Apartment and other unit types,Row units,Semi-detached units,Single-detached units
2018,"Belleville, Ontario",2011S0504522,Housing completions,Units,300,NA,NA,NA,0,[522],NA,3,NA,2018-01-01,36,86,34,406
2018,"Belleville, Ontario",2011S0504522,Housing starts,Units,300,NA,NA,NA,0,[522],NA,1,NA,2018-01-01,127,94,28,394
2018,"Belleville, Ontario",2011S0504522,Housing under construction,Units,300,NA,NA,NA,0,[522],NA,2,NA,2018-01-01,168,80,20,245
2018,"Cape Breton, Nova Scotia",2011S0504225,Housing completions,Units,300,NA,NA,NA,0,[225],NA,3,NA,2018-01-01,4,4,74,112
2018,"Cape Breton, Nova Scotia",2011S0504225,Housing starts,Units,300,NA,NA,NA,0,[225],NA,1,NA,2018-01-01,5,4,60,102
2018,"Cape Breton, Nova Scotia",2011S0504225,Housing under construction,Units,300,NA,NA,NA,0,[225],NA,2,NA,2018-01-01,4,0,40,68
2018,"Charlottetown, Prince Edward Island",2011S0504105,Housing completions,Units,300,NA,NA,NA,0,[105],NA,3,NA,2018-01-01,262,72,58,263
2018,"Charlottetown, Prince Edward Island",2011S0504105,Housing starts,Units,300,NA,NA,NA,0,[105],NA,1,NA,2018-01-01,327,79,72,278
2018,"Charlottetown, Prince Edward Island",2011S0504105,Housing under construction,Units,300,NA,NA,NA,0,[105],NA,2,NA,2018-01-01,218,78,50,185
2018,"Chatham-Kent, Ontario",2011S0504556,Housing completions,Units,300,NA,NA,NA,0,[556],NA,3,NA,2018-01-01,12,7,28,112
2018,"Chatham-Kent, Ontario",2011S0504556,Housing starts,Units,300,NA,NA,NA,0,[556],NA,1,NA,2018-01-01,0,6,24,113
2018,"Chatham-Kent, Ontario",2011S0504556,Housing under construction,Units,300,NA,NA,NA,0,[556],NA,2,NA,2018-01-01,132,0,14,62
2018,"Chilliwack, British Columbia",2011S0504930,Housing completions,Units,300,NA,NA,NA,0,[930],NA,3,NA,2018-01-01,121,237,26,599
2018,"Chilliwack, British Columbia",2011S0504930,Housing starts,Units,300,NA,NA,NA,0,[930],NA,1,NA,2018-01-01,255,189,8,423
