organization,transfer_payment_type,transfer_payment_name,exp_1314,exp_1415,exp_1516,exp_1617,exp_1718
Atlantic Canada Opportunities Agency,Contribution,Canada 150 Community Infrastructure Program,0,0,3481221,12535250,17168340
Atlantic Canada Opportunities Agency,Contribution,Contributions to promote and coordinate economic development throughout Cape Breton Island,0,4093435,2557053,992752,13381
Atlantic Canada Opportunities Agency,Contribution,Contributions for the Community Infrastructure Improvement Fund,12319305,0,0,0,0
Atlantic Canada Opportunities Agency,Contribution,Contributions under the Community Futures program,12614168,12664849,12604443,12627869,12641998
Atlantic Canada Opportunities Agency,Contribution,Contributions under the Business Development Program,128584359,126625641,133140184,157272396,174809155
Atlantic Canada Opportunities Agency,Contribution,Contribution for the Innovative Communities Fund,34508394,41646990,40951128,47669438,41687697
Atlantic Canada Opportunities Agency,Contribution,Contributions under the Atlantic Policy Research Initiatives,456848,577558,420170,525445,768842
Atlantic Canada Opportunities Agency,Contribution,Contributions for the Atlantic Innovation Fund,47766112,45027132,37241006,30653122,36274360
Atlantic Canada Opportunities Agency,Grant,Grants to organizations to promote economic cooperation and development,484275,442941,350761,202959,607424
Canada Revenue Agency,Other Transfer Payment,(S) Children's Special Allowance payments,235403434,214761199,309173282,319659267,333553349
Canada Revenue Agency,Other Transfer Payment,(S) Disbursements to provinces under the Softwood Lumber Products Export Charge Act,42344675,-15118882,121481095,-109802,0
Canada Revenue Agency,Other Transfer Payment,(S) Payments under the Energy Costs Assistance Measures Act,500,250,0,0,0
Canadian Environmental Assessment Agency,Contribution,Contribution to the Province of Quebec—James Bay and Northern Quebec Agreement,245500,245500,245500,245500,245500
Canadian Environmental Assessment Agency,Contribution,Contributions for the support of public participation in the environmental assessment review process—Participant Funding Program,2518323,2069320,1438974,4332682,3581660
Canadian Food Inspection Agency,Contribution,Contributions to the provinces in accordance with the rabies indemnification regulations of the Governor in Council of amounts not exceeding two-fifths of the amounts paid by the provinces to own,1200,0,0,0,0
Canadian Food Inspection Agency,Contribution,"Contributions in support of the Federal Assistance Program to support projects and initiatives that will strengthen the underlying science, improve the national and international regulatory frame",2125075,879210,1802426,1243488,804035
Canadian Food Inspection Agency,Contribution,"(S) Compensation payments in accordance with established by Regulations under the Health of Animals Act and the Plant Protection Act, and authorized pursuant to the Canadian Food Inspection Agenc",58292634,12555078,17131017,40867951,6372561
Canadian High Arctic Research Station,Contribution,Contributions to support the advancement of Northern Science and Technology,0,0,1726971,5627081,9152366
Canadian High Arctic Research Station,Grant,Grants to support the advancement of Northern Science and Technology,0,0,1e4,87305,1e4
Canadian High Arctic Research Station,Grant,"Grants to individuals, organizations, associations and institutions to support research and activities relating to the polar regions",0,0,156e3,1388350,1545984
Canadian High Arctic Research Station,Contribution,"Contributions to individuals, organizations, associations and institutions to support research and activities relating to the polar regions",1e4,1e4,0,0,0
Canadian Institutes of Health Research,Grant,Canada 150 Research Chairs,0,0,0,0,818219
Canadian Institutes of Health Research,Grant,Canada First Research Excellence Fund,0,0,16246614,25489387,34646332
Canadian Institutes of Health Research,Grant,Centres of Excellence for Commercialization and Research,12054160,12073e3,11116947,10771143,12328500
Canadian Institutes of Health Research,Grant,Institute support grants,13e6,13e6,12916667,12013832,13e6
Canadian Institutes of Health Research,Grant,College and Community Innovation Program,145816,154919,24408,75e3,25e3
Canadian Institutes of Health Research,Grant,Industrial Research Chairs for Colleges,16e4,16e4,16e4,16e4,28e4
Canadian Institutes of Health Research,Grant,Canada Graduate Scholarships,21089368,21222555,21216528,21104926,21150359
Canadian Institutes of Health Research,Grant,Networks of Centres of Excellence,22589e3,22589e3,22589e3,22589e3,2174e4
Canadian Institutes of Health Research,Grant,Business-Led Networks of Centres of Excellence,4340132,3106027,2798750,3106750,3344250
Canadian Institutes of Health Research,Grant,Vanier Canada Graduate Scholarships,8245833,8312500,8284309,8270836,8264193
Canadian Institutes of Health Research,Grant,Canada Excellence Research Chairs,8249999,895e4,98e5,98e5,7933333
Canadian Institutes of Health Research,Grant,Grants for research projects and personnel support,854080958,870277008,867669698,910868003,911875155
Canadian International Development Agency,Contribution,"Contributions for Multilateral Programming: Contributions in support of development assistance, humanitarian assistance or disaster preparedness, for global operations, programs, projects, activi",2751820,0,0,0,0
Canadian International Development Agency,Other Transfer Payment,(S) Payments to International Financial Institutions / Encashment of notes,215256121,0,0,0,0
Canadian International Development Agency,Grant,"Grants for Multilateral Programming: Grants in support of development assistance, humanitarian assistance or disaster preparedness, for global operations, programs, projects, activities and appea",264581352,0,0,0,0
